,unique_id,speech_type,link
126,273226,Interview,https://www.vie-publique.fr/discours/273226-sibeth-ndiaye-03022020-reforme-des-retraites-devant-le-parlement
127,273349,Déclaration,https://www.vie-publique.fr/discours/273349-genevieve-darrieussecq-03022020-charles-de-gaulle
128,273198,Déclaration,https://www.vie-publique.fr/discours/273198-presidence-de-la-republique-03022020-france-pologne
129,273135,Interview,https://www.vie-publique.fr/discours/273135-adrien-taquet-3022020-conge-perte-dun-enfant
130,273193,Extraits,https://www.vie-publique.fr/discours/273193-entretien-jean-yves-le-drian-02022020-politique-etrangere
131,273191,Extraits,https://www.vie-publique.fr/discours/273191-entretien-amelie-de-montchalin-01022020-brexit
132,273574,Interview,https://www.vie-publique.fr/discours/273574-agnes-pannier-runacher-01022020-politique-gouvernementale
133,273163,Interview,https://www.vie-publique.fr/discours/273163-gerald-darmanin-31012020-brexit
134,273155,Message,https://www.vie-publique.fr/discours/273155-emmanuel-macron-31012020-brexit
135,273197,Interview,https://www.vie-publique.fr/discours/273197-frederique-vidal-31012020-salaires-des-chercheurs-bioethique-elections
136,273275,Interview,https://www.vie-publique.fr/discours/273275-edouard-philippe-31012020-candidature-municipale-au-havre
137,273306,Déclaration,https://www.vie-publique.fr/discours/273306-jacqueline-gourault-31012020-collectivite-europeenne-dalsace
138,273243,Interview,https://www.vie-publique.fr/discours/273243-amelie-de-montchalin-31012020-brexit
139,273167,Déclaration,https://www.vie-publique.fr/discours/273167-jean-yves-le-drian-31012020-trafics-darmes-feu
140,273165,Interview,https://www.vie-publique.fr/discours/273165-julien-denormandie-31012020-politique-gouvernementale
141,273170,Déclaration,https://www.vie-publique.fr/discours/273170-florence-parly-31012020-laser
142,273168,Déclaration,https://www.vie-publique.fr/discours/273168-florence-parly-31012020-pharmacie-centrale-des-armees
143,273123,Interview,https://www.vie-publique.fr/discours/273123-franck-riester-30012020-nomination-de-roman-polanski
144,273134,Interview,https://www.vie-publique.fr/discours/273134-nicole-belloubet-30012020-politique-gouvernementale
145,273141,Déclaration,https://www.vie-publique.fr/discours/273141-emmanuel-macron-30012020-france-grece
146,273277,Déclaration,https://www.vie-publique.fr/discours/273277-edouard-philippe-30012020-conference-financement-retraites-calendrier
147,273303,Déclaration,https://www.vie-publique.fr/discours/273303-jacqueline-gourault-30012020-amenagement-du-territoire
148,273152,Déclaration,https://www.vie-publique.fr/discours/273152-emmanuel-macron-30012020-politique-industrielle
149,273241,Déclaration,https://www.vie-publique.fr/discours/273241-emmanuel-macron-30012020-bande-dessinee
150,273142,Déclaration,https://www.vie-publique.fr/discours/273142-emmanuel-macron-30012020-france-armenie
151,273274,Déclaration,https://www.vie-publique.fr/discours/273274-annick-girardin-30012020-outre-mer
152,273133,Interview,https://www.vie-publique.fr/discours/273133-marlene-schiappa-30012020-roman-polanski-violence
153,273127,Interview,https://www.vie-publique.fr/discours/273127-roxana-maracineanu-30012020-violences-sexuelles-patinage-artistique
154,273173,Interview,https://www.vie-publique.fr/discours/273173-elisabeth-borne-29012020-coronavirus-retraites-au-parlement-sncf
155,273131,Déclaration,https://www.vie-publique.fr/discours/273131-amelie-de-montchalin-29012020-brexit
156,273118,Interview,https://www.vie-publique.fr/discours/273118-agnes-pannier-runacher-29012020-politique-economique
157,273190,Déclaration,https://www.vie-publique.fr/discours/273190-christelle-dubos-29012020-rapatriement-de-francais-coronavirus
158,273116,Interview,https://www.vie-publique.fr/discours/273116-nicole-belloubet-29012020-politique-gouvernementale
159,273132,Déclaration,https://www.vie-publique.fr/discours/273132-amelie-de-montchalin-29012020-brexit
160,273130,Déclaration,https://www.vie-publique.fr/discours/273130-jean-baptiste-lemoyne-290120-francais-de-letranger
161,273215,Interview,https://www.vie-publique.fr/discours/273215-sibeth-ndiaye-28012020-coronavirus-rapatriements-avis-reforme-retraites
162,273103,Interview,https://www.vie-publique.fr/discours/273103-didier-guillaume-28012020-bien-etre-animal
163,273029,Interview,https://www.vie-publique.fr/discours/273029-laurent-pietraszewski-28012020-projet-de-loi-de-reforme-des-retraites
164,273172,Interview,https://www.vie-publique.fr/discours/273172-elisabeth-borne-28012020-reduction-gaz-effet-de-serre
165,273011,Interview,https://www.vie-publique.fr/discours/273011-marlene-schiappa-28012020-violences-faites-aux-femmes-mineurs
166,273114,Déclaration,https://www.vie-publique.fr/discours/273114-agnes-buzyn-28012020-priorite-accordee-au-grand-age-et-la-dependance
167,273110,Déclaration,https://www.vie-publique.fr/discours/273110-jean-yves-le-drian-28012020-politique-etrangere-de-lunion-europeenne
168,273115,Déclaration,https://www.vie-publique.fr/discours/273115-amelie-de-montchalin-28012020-union-europeenne
169,273100,Extraits,https://www.vie-publique.fr/discours/273100-entretien-jean-baptiste-lemoyne-27012020-coronavirus
170,273099,Interview,https://www.vie-publique.fr/discours/273099-bruno-le-maire-27012020-politique-economique
171,273097,Déclaration,https://www.vie-publique.fr/discours/273097-jean-yves-le-drian-27012020-politique-etrangere
172,273176,Déclaration,https://www.vie-publique.fr/discours/273176-elisabeth-borne-27012020-biocarburants-decarbonation-transport-aerien
173,273101,Extraits,https://www.vie-publique.fr/discours/273101-entretien-amelie-de-montchalin-27012020-brexit
174,273178,Déclaration,https://www.vie-publique.fr/discours/273178-jean-baptiste-djebbari-27012020-biocarburants-aeronautiques-durables
175,273008,Déclaration,https://www.vie-publique.fr/discours/273008-agnes-buzyn-26012020-epidemie-de-coronavirus-2019-ncov
176,273093,Interview,https://www.vie-publique.fr/discours/273093-gerald-darmanin-24012020-retraite
177,273372,Interview,https://www.vie-publique.fr/discours/273372-emmanuelle-wargon-24012020-transition-ecologique-puy-de-dome
178,273028,Interview,https://www.vie-publique.fr/discours/273028-laurent-pietraszewski-24012020-reforme-retraites-conseil-des-ministres
179,273238,Déclaration,https://www.vie-publique.fr/discours/273238-jacqueline-gourault-24012020-relations-etat-regions
180,273025,Interview,https://www.vie-publique.fr/discours/273025-muriel-penicaud-24012020-reforme-des-retraites-conseil-des-ministres
181,273094,Interview,https://www.vie-publique.fr/discours/273094-amelie-de-montchalin-24012020-retraite
182,273086,Déclaration,https://www.vie-publique.fr/discours/273086-jean-yves-le-drian-24012020-coronavirus
183,273071,Interview,https://www.vie-publique.fr/discours/273071-bruno-le-maire-23012020-politique-economique
184,273004,Déclaration,https://www.vie-publique.fr/discours/273004-elisabeth-borne-23012020-parc-national-des-forets-arc-en-barrois
