,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
26,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur le rachat de Bombardier Transport par Alstom, Renault et le budget européen, à Bruxelles le 18 février 2020.",https://www.vie-publique.fr/discours/273497-bruno-le-maire-18022020-politique-economique,Déclaration,Bruno,Le Maire,2020-02-18T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances,273497
27,"Déclaration de Mme Annick Girardin, ministre des outre-mer, sur les risques naturels majeurs outre-mer, au Sénat le 18 février 2020.",https://www.vie-publique.fr/discours/273527-annick-girardin-18022020-risques-naturels-majeurs-outre-mer,Déclaration,Annick,Girardin,2020-02-18T12:00:00Z,SOCIÉTÉ,Ministre des outre-mer,273527
28,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, en réponse à une question sur le plan de paix américain pour le Proche-Orient, à l'Assemblée nationale le 18 février 2020.",https://www.vie-publique.fr/discours/273493-jean-yves-le-drian-18022020-autorite-palestinienne-israel,Déclaration,Jean-Yves,Le Drian,2020-02-18T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273493
29,"Interview de M. Olivier Dussopt, secrétaire d'État auprès du ministre de l'action et des comptes publics, à CNews le 17 février 2020, sur les élections municipales, la réforme des retraites et la rupture conventionnelle dans la Fonction publique.",https://www.vie-publique.fr/discours/273454-olivier-dussopt-17022020-elections-municipales,Interview,Olivier,Dussopt,2020-02-17T12:00:00Z,INSTITUTIONS,Secrétaire d'État auprès du ministre de l'action et des comptes publics Gérard Leclerc,273454
30,"Déclaration de Mme Amélie de Montchalin, secrétaire d'État aux affaires européennes, sur la construction européenne et le Brexit, à Bruxelles le 17 février 2020.",https://www.vie-publique.fr/discours/273492-amelie-de-montchalin-17022020-union-europeenne,Déclaration,Amélie,de Montchalin,2020-02-17T12:00:00Z,INTERNATIONAL,Secrétaire d'État aux affaires européennes,273492
31,"Interview de Mme Agnès Pannier-Runacher, secrétaire d'État auprès du ministre de l'économie et des finances, à BFMTV le 17 février 2020, sur la candidature d'Agnès Buzyn comme tête de liste de La République en Marche aux municipales à Paris.",https://www.vie-publique.fr/discours/273486-agnes-pannier-runacher-17022020-agnes-buzin,Interview,Agnès,Pannier-Runacher,2020-02-17T12:00:00Z,INSTITUTIONS,Secrétaire d'État auprès du ministre de l'économie et des finances Christophe Delay,273486
32,"Interview de M. Cédric O, secrétaire d'État au numérique, à France Info le 17 février 2020, sur les élections municipales à Paris et la régulation d'Internet.",https://www.vie-publique.fr/discours/273460-cedric-o-17022020-elections-municipales,Interview,Cédric,O,2020-02-17T12:00:00Z,INSTITUTIONS,Secrétaire d'État au numérique Jean-Jérôme Bertollus,273460
33,"Interview de Mme Brune Poirson, secrétaire d'État auprès de la ministre de la Transition écologique et solidaire, à Sud Radio le 17 février 2020, sur la candidature d'Agnès Buzyn à la mairie de Paris après le désistement de Benjamin Griveaux.",https://www.vie-publique.fr/discours/273496-brune-poirson-17022020-buzyn-mairie-paris-griveaux-vie-privee-internet,Interview,Brune,Poirson,2020-02-17T12:00:00Z,INSTITUTIONS,Secrétaire d'État auprès de la ministre de la transition écologique et solidaire,273496
34,"Interview de Mme Sibeth Ndiaye, secrétaire d'État, porte-parole du Gouvernement, à LCI le 17 février 2020, sur la candidature de Agnès Buzyn à la mairie de Paris après le retrait de Benjamin Griveaux et l'atteinte au droit de la vie privée sur internet.",https://www.vie-publique.fr/discours/273495-sibeth-ndiaye-17022020-buzyn-mairie-paris-griveau-vie-privee-internet,Interview,Sibeth,Ndiaye,2020-02-17T12:00:00Z,INSTITUTIONS,"Secrétaire d'État, porte-parole du Gouvernement",273495
35,"Interview de M. Franck Riester, ministre de la culture, à France 2 le 17 février 2020, sur la candidature de Agnès Buzyn à la mairie de Paris après le retrait de Benjamin Griveaux et l'atteinte au droit de la vie privée sur internet.",https://www.vie-publique.fr/discours/273469-franck-riester-17022020-agnes-buzyn-la-mairie-de-paris,Interview,Franck,Riester,2020-02-17T12:00:00Z,INSTITUTIONS,Ministre de la culture,273469
36,"Déclaration de M. Olivier Véran, ministre des solidarités et de la santé, lors de sa nomination à la tête du ministère de la santé, à Paris le 17 février 2020.",https://www.vie-publique.fr/discours/273478-olivier-veran-17022020-nomination-ministere-de-la-sante,Déclaration,Olivier,Véran,2020-02-17T12:00:00Z,"INSTITUTIONS
SOCIÉTÉ",Ministre des solidarités et de la santé,273478
37,"Déclaration de M. Emmanuel Macron, président de la République, sur la politique étrangère et de sécurité de l'Union européenne, à Munich le 15 février 2020.",https://www.vie-publique.fr/discours/273427-emmanuel-macron-15022020-politique-etrangere-de-lunion-europeenne,Déclaration,Emmanuel,Macron,2020-02-15T12:00:00Z,INTERNATIONAL,Président de la République,273427
38,"Interview de Mme Agnès Buzyn, ministre des solidarités et de la santé, à France Inter le 14 février 2020, sur l'épidémie de Coronavirus 2019-nCoV, les mesures pour l'hôpital public et le financement de la réforme des retraites.",https://www.vie-publique.fr/discours/273453-agnes-buzyn-14022020-coronavirus-hopital-public-retraites,Interview,Agnès,Buzyn,2020-02-14T12:00:00Z,SOCIÉTÉ,Ministre des solidarités et de la santé,273453
39,"Interview de M. Bruno Le Maire, ministre de l'économie et des finances, à Sud Radio le 14 février 2020, sur la réforme des retraites, la baisse du chômage, la politique industrielle et le plan de lutte contre le séparatisme.",https://www.vie-publique.fr/discours/273426-bruno-le-maire-14022020-politique-economique,Interview,Bruno,Le Maire,2020-02-14T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances Patrick Roger,273426
40,"Déclaration de M. Emmanuel Macron, président de la République, sur la politique de l'environnement, à Chamonix le 13 février 2020.",https://www.vie-publique.fr/discours/273419-emmanuel-macron-13022020-politique-de-lenvironnement,Déclaration,Emmanuel,Macron,2020-02-13T12:00:00Z,SOCIÉTÉ,Président de la République,273419
41,"Déclaration de M. Édouard Philippe, Premier ministre, sur la pénibilité, les fins de carrière, les minima sociaux et la gestion des transitions dans le cadre du futur système universel de retraite, à Paris le 13 février 2020.",https://www.vie-publique.fr/discours/273452-edouard-philippe-13022020-retraite-penibilite-minima-sociaux-transitions,Déclaration,Edouard,Philippe,2020-02-13T12:00:00Z,,Premier ministre,273452
42,"Conférence de presse de M. Emmanuel Macron, président de la République sur la biodiversité et la protection du Mont Blanc, à Saint-Gervais le 13 février 2020.",https://www.vie-publique.fr/discours/273424-emmanuel-macron-13022020-protection-de-lenvironnement,Conférence,Emmanuel,Macron,2020-02-13T12:00:00Z,SOCIÉTÉ,Président de la République,273424
43,"Déclaration de Mme Jacqueline Gourault, ministre de la cohésion des territoires et des relations avec les collectivités territoriales, sur les politiques éducatives en zone rurale, à Paris le 13 février 2020.",https://www.vie-publique.fr/discours/273417-jacqueline-gourault-13022020-zone-rurale,Déclaration,Jacqueline,Gourault,2020-02-13T12:00:00Z,SOCIÉTÉ,Ministre de la cohésion des territoires et des relations avec les collectivités territoriales,273417
